dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_100_dim_1200,18,0.8895055107,0.8872551368,0.9973992899,0.4590247911,0.4438795339,0.9954363362,random with centroids
sample_100_dim_1200,18,0.8326088861,0.8380838593,0.9955490568,0.7388459007,0.7373465629,0.9994573064,random with centroids
sample_100_dim_1200,18,0.8837873712,0.8911062997,0.9947602706,0.4465774089,0.3997122027,0.9664499555,random with centroids
sample_100_dim_1200,18,0.8687420724,0.8505675355,0.9906397811,0.2373738639,0.1230265009,0.9535618021,random with centroids
sample_100_dim_1200,18,0.9102546092,0.8922757861,0.9888844602,0.7165333404,0.6872321976,0.985964007,random with centroids
sample_100_dim_1200,18,0.8828626739,0.8773287734,0.9943280002,0.4556576541,0.5072534509,0.9788446376,random with centroids
sample_100_dim_1200,18,0.9174840302,0.9160698075,0.9992619601,0.4054798597,0.4080246215,0.9984765615,random with centroids
sample_100_dim_1200,18,0.9859524084,0.9669564021,0.9875819283,0.4508679796,0.4498445792,0.8943451741,random with centroids
sample_100_dim_1200,18,0.8604221606,0.8554570152,0.9974199068,0.470785576,0.4033943955,0.98809117,random with centroids
sample_100_dim_1200,18,0.9549358176,0.9434208157,0.9917509497,0.7924026581,0.7490693327,0.9764574498,random with centroids
sample_100_dim_1200,20,0.9999224701,0.9976037674,0.9975890938,0.9937549024,0.7938132377,0.7968982836,centroids
sample_100_dim_1200,20,0.9995746241,0.9962757963,0.996899431,0.945833334,0.7383570857,0.7600007696,centroids
sample_100_dim_1200,20,0.9994220361,0.9957245993,0.9961906095,0.9222173581,0.725530749,0.777617011,centroids
sample_100_dim_1200,20,0.9999646462,0.9986701049,0.9988214401,0.9971765521,0.880084283,0.8821177087,centroids
sample_100_dim_1200,20,0.9998625649,0.9984710924,0.9988712617,0.9895380002,0.9891310669,0.9992278931,centroids
sample_100_dim_1200,20,0.9996304758,0.9965920018,0.9970419703,0.9647779527,0.616609957,0.6610814002,centroids
sample_100_dim_1200,20,0.9999529036,0.9907241879,0.9907018712,0.9928279034,0.2953847438,0.278601721,centroids
sample_100_dim_1200,20,0.9998723662,0.99654158,0.9970949292,0.9809920416,0.8134443146,0.8392677645,centroids
sample_100_dim_1200,20,0.999589294,0.9993566395,0.9997481618,0.9374076357,0.9259958893,0.9879452282,centroids
sample_100_dim_1200,20,0.9997948365,0.9934613862,0.9944191667,0.9875907929,0.5683219818,0.5737318322,centroids
sample_100_dim_1200,20,0.9999861827,0.9999784544,0.9999899715,0.9970263988,0.9969093522,0.999561613,centroids
sample_100_dim_1200,20,0.9998441941,0.9976871659,0.9979003253,0.9894213788,0.9129972646,0.9215287758,centroids
sample_100_dim_1200,20,0.9999658221,0.9986032957,0.9987369828,0.998043766,0.8054611649,0.8069486747,centroids
sample_100_dim_1200,2,0.999539454,0.9988070003,0.9998226648,0.8632331883,0.8037130551,0.6857863231,centroids
sample_100_dim_1200,2,0.9994971573,0.9983445115,0.9996598542,0.9415302492,0.9091543704,0.9839286219,centroids
sample_100_dim_1200,2,0.9999127952,0.9998474427,0.9999901389,0.8164163458,0.7720401709,0.9718172065,centroids
sample_100_dim_1200,2,0.999879835,0.9996570628,0.9999418126,0.8439925137,0.8355793642,0.9983166404,centroids
sample_100_dim_1200,2,0.997384407,0.9971678563,0.9999729461,0.2027671189,0.2018395911,0.9996035811,centroids
sample_100_dim_1200,2,0.999098665,0.9984918777,0.9999173392,0.7843376761,0.7668008287,0.9948727794,centroids
sample_100_dim_1200,2,0.9998028221,0.9970452213,0.9983095703,0.8848352047,0.8783852383,0.9990200892,centroids
sample_100_dim_1200,2,0.9996184838,0.9994586808,0.9999856824,0.662246039,0.6588387991,0.9985085256,centroids
sample_100_dim_1200,2,0.9992204092,0.9982383862,0.9998005031,0.8799099093,0.846765639,0.7391696832,centroids
sample_100_dim_1200,2,0.9991557731,0.9967966878,0.9992357484,0.9436635347,0.9397176329,0.9988123111,centroids
sample_100_dim_1200,2,0.999587852,0.9965891745,0.9954073485,0.1425341531,0.1425341531,1,centroids
sample_100_dim_1200,2,0.9998697981,0.9996822738,0.9999579035,0.7947442978,0.7835951416,0.9976720451,centroids
sample_100_dim_1200,2,0.9996600323,0.9986549453,0.999664024,0.9398448932,0.9283240587,0.9134760032,centroids
sample_100_dim_1200,2,0.999695446,0.999530976,0.9999808023,0.725431454,0.7047128991,0.9889542453,centroids
sample_100_dim_1200,2,0.9999932634,0.9998937194,0.9999275969,0.9164288577,0.8665088118,0.9745219838,centroids
sample_100_dim_1200,4,0.9999725011,0.998653432,0.9988209031,0.9793693592,0.9603904021,0.9750699677,centroids
sample_100_dim_1200,4,0.9999955437,0.9987640111,0.9987555927,0.9468337303,0.5713584861,0.5630705366,centroids
sample_100_dim_1200,4,0.9999810187,0.9944377776,0.9947969937,0.9840347297,0.7494820579,0.751541048,centroids
sample_100_dim_1200,4,0.9999990496,0.9999337412,0.9999386069,0.9692630282,0.9691253932,0.9999802902,centroids
sample_100_dim_1200,4,0.9999768437,0.9933650925,0.9933762251,0.9917131333,0.6527216228,0.6511073985,centroids
sample_100_dim_1200,4,0.9999865152,0.9982435421,0.9982199658,0.9840072486,0.4286637349,0.4387783706,centroids
sample_100_dim_1200,4,0.9999893417,0.9998259033,0.9998406035,0.9219747025,0.9170556295,0.9950915272,centroids
sample_100_dim_1200,4,0.9999964928,0.9998528838,0.9998692998,0.9900841613,0.890639914,0.8938598988,centroids
sample_100_dim_1200,4,0.9999882161,0.9981282561,0.9982760371,0.9858663575,0.6072566229,0.6227921172,centroids
sample_100_dim_1200,4,0.999998811,0.9999540437,0.9999537263,0.9713576804,0.9653011985,0.9964775268,centroids
sample_100_dim_1200,4,0.999962975,0.9993310191,0.9993919792,0.9680367194,0.9564457263,0.9904136285,centroids
sample_100_dim_1200,4,0.9999896254,0.999760839,0.9997932457,0.9839574928,0.9379872339,0.9446396433,centroids
sample_100_dim_1200,4,0.999990277,0.9994570195,0.9995117058,0.9766057381,0.9711466168,0.9963497343,centroids
sample_100_dim_1200,4,0.9999658228,0.9978818862,0.9978376739,0.9768342426,0.7929592829,0.8250690138,centroids
sample_100_dim_1200,4,0.9999769092,0.9989369272,0.999066021,0.9928097453,0.9439094906,0.9460686896,centroids
sample_100_dim_1200,6,0.9999769585,0.9981071852,0.998075553,0.9801349142,0.5328179373,0.5315201127,centroids
sample_100_dim_1200,6,0.9999760288,0.9973742435,0.9975838135,0.9841070609,0.5583943046,0.5616836004,centroids
sample_100_dim_1200,6,0.9999541342,0.9986015699,0.9987650682,0.9884914539,0.9257179326,0.9375585439,centroids
sample_100_dim_1200,6,0.9999921673,0.9998075425,0.9998316945,0.9943430886,0.9833367139,0.9867696044,centroids
sample_100_dim_1200,6,0.999982873,0.9933729355,0.9933703577,0.9929952639,0.6970947934,0.6995549102,centroids
sample_100_dim_1200,6,0.9999771252,0.9989021249,0.9989159779,0.9796191746,0.8978528139,0.9133674907,centroids
sample_100_dim_1200,6,0.999982078,0.9997475343,0.9997549803,0.9653119182,0.9517184675,0.9863918488,centroids
sample_100_dim_1200,6,0.9999842407,0.9993545002,0.9993489057,0.9775618652,0.8905512037,0.9087396488,centroids
sample_100_dim_1200,6,0.9999873474,0.997977727,0.99794291,0.9928320669,0.8304378837,0.8389552159,centroids
sample_100_dim_1200,6,0.9999919527,0.9983091339,0.9982992756,0.9926309395,0.5546537083,0.5600310585,centroids
sample_100_dim_1200,6,0.99999504,0.9998551993,0.9998657475,0.9740292755,0.9560646819,0.9784393785,centroids
sample_100_dim_1200,6,0.9999997846,0.9999882179,0.9999887825,0.9769239989,0.9718231628,0.9945002038,centroids
sample_100_dim_1200,6,0.9999840633,0.9992533681,0.9992566339,0.9754406752,0.8166555925,0.8455064887,centroids
